Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3-4,1-2,0-1,0-1,5-6,,,,,,
Guitar Hero II,PS2,2006,Misc,RedOctane,3-4,0-1,0-1,0-1,5-6,91-92,68-69,8.0,0-500,Harmonix Music Systems,T
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3-4,1-2,0-1,0-1,5-6,79-80,87-88,6.0,500-1000,Lionhead Studios,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1-2,2-3,0-1,0-1,5-6,,,,,,
Resident Evil 5,PS3,2009,Action,Capcom,1-2,1-2,1-2,0-1,5-6,83-84,75-76,8.0,500-1000,Capcom,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1-2,1-2,0-1,0-1,5-6,89-90,56-57,8.0,0-500,Nintendo,E
Super Mario Bros.,GB,1999,Platform,Nintendo,3-4,1-2,0-1,0-1,5-6,,,,,,
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0-1,3-4,0-1,1-2,5-6,88-89,50-51,8.0,0-500,EA Sports,E
Resident Evil,PS,1996,Action,Virgin Interactive,2-3,1-2,1-2,0-1,5-6,90-91,7-8,9.0,0-500,Capcom,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1-2,1-2,0-1,1-2,5-6,85-86,49-50,8.0,0-500,Rockstar Leeds,M
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3-4,1-2,0-1,0-1,5-6,91-92,17-18,9.0,0-500,Neversoft Entertainment,T
Warzone 2100,PS,1999,Strategy,Eidos Interactive,2-3,1-2,0-1,0-1,5-6,,,,,,
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3-4,1-2,0-1,0-1,4-5,,,,,,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3-4,0-1,0-1,1-2,4-5,81-82,23-24,8.0,0-500,"Neversoft Entertainment, BudCat",T
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3-4,1-2,0-1,0-1,4-5,67-68,33-34,7.0,0-500,Nintendo,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1-2,1-2,1-2,0-1,4-5,,,,,,
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3-4,0-1,0-1,0-1,4-5,92-93,83-84,8.0,1500-2000,Bethesda Game Studios,M
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2-3,1-2,0-1,0-1,4-5,87-88,65-66,8.0,2000-2500,"Naughty Dog, SCE/WWS",T
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3-4,0-1,0-1,0-1,4-5,87-88,28-29,8.0,0-500,EA Sports,E
Diddy Kong Racing,N64,1997,Racing,Nintendo,2-3,0-1,0-1,0-1,4-5,,,,,,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0-1,0-1,4-5,0-1,4-5,,,,,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2-3,1-2,0-1,0-1,4-5,,,,,,
Dr. Mario,NES,1990,Puzzle,Nintendo,2-3,0-1,1-2,0-1,4-5,,,,,,
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2-3,1-2,0-1,0-1,4-5,92-93,81-82,8.0,3000-3500,Blizzard Entertainment,T
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1-2,1-2,0-1,0-1,4-5,80-81,39-40,7.0,500-1000,Ubisoft Montreal,M
God of War III,PS3,2010,Action,Sony Computer Entertainment,2-3,1-2,0-1,0-1,4-5,91-92,100-101,9.0,2500-3000,SCE Santa Monica,M
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2-3,1-2,0-1,0-1,4-5,87-88,19-20,9.0,0-500,Naughty Dog,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2-3,1-2,0-1,0-1,4-5,79-80,8-9,5.0,0-500,TT Fusion,E
Driver 2,PS,2000,Action,Atari,2-3,2-3,0-1,0-1,4-5,61-62,13-14,8.0,0-500,Reflections Interactive,T
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2-3,1-2,0-1,0-1,4-5,93-94,86-87,9.0,1000-1500,Rocksteady Studios,T
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1-2,1-2,0-1,0-1,4-5,,,,,,
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1-2,2-3,0-1,0-1,4-5,,,,,,
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3-4,1-2,0-1,0-1,4-5,97-98,18-19,8.0,0-500,Neversoft Entertainment,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1-2,1-2,0-1,0-1,4-5,81-82,31-32,8.0,0-500,Stormfront Studios,T
Tomb Raider,PS,1996,Action,Eidos Interactive,2-3,1-2,0-1,0-1,4-5,90-91,12-13,9.0,0-500,Core Design Ltd.,T
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1-2,1-2,1-2,0-1,4-5,72-73,49-50,8.0,0-500,Nintendo,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2-3,1-2,0-1,0-1,4-5,85-86,77-78,8.0,1000-1500,Bluepoint Games,T
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2-3,0-1,1-2,0-1,4-5,,,,,,
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2-3,0-1,0-1,0-1,4-5,95-96,79-80,9.0,500-1000,Nintendo,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3-4,1-2,0-1,0-1,4-5,85-86,35-36,8.0,0-500,Vicarious Visions,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1-2,1-2,1-2,0-1,4-5,85-86,73-74,8.0,0-500,Next Level Games,E
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2-3,1-2,0-1,0-1,4-5,90-91,82-83,8.0,500-1000,Turn 10,E
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1-2,1-2,0-1,0-1,4-5,,,,,,
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4-5,0-1,0-1,0-1,4-5,90-91,29-30,8.0,0-500,EA Tiburon,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3-4,0-1,0-1,0-1,4-5,84-85,68-69,8.0,0-500,Neversoft Entertainment,T
Pitfall!,2600,1981,Platform,Activision,4-5,0-1,0-1,0-1,4-5,,,,,,
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3-4,0-1,0-1,0-1,4-5,83-84,28-29,8.0,0-500,EA Sports,E
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2-3,1-2,0-1,0-1,4-5,83-84,100-101,6.0,2000-2500,343 Industries,T
Spider-Man: The Movie,PS2,2002,Action,Activision,2-3,1-2,0-1,0-1,4-5,75-76,24-25,8.0,0-500,Treyarch,E
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0-1,0-1,4-5,0-1,4-5,,,,,,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1-2,1-2,0-1,0-1,4-5,76-77,81-82,3.0,1000-1500,Infinity Ward,M
God of War,PS2,2005,Action,Sony Computer Entertainment,2-3,1-2,0-1,0-1,4-5,93-94,74-75,9.0,500-1000,SCE Santa Monica,M
Splatoon,WiiU,2015,Shooter,Nintendo,1-2,1-2,1-2,0-1,4-5,80-81,87-88,8.0,1000-1500,Nintendo,E10+
Nintendo Land,WiiU,2012,Misc,Nintendo,2-3,1-2,0-1,0-1,4-5,76-77,60-61,8.0,0-500,Nintendo,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2-3,1-2,0-1,0-1,4-5,96-97,33-34,8.0,0-500,Neversoft Entertainment,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0-1,2-3,1-2,0-1,4-5,85-86,18-19,9.0,0-500,Konami,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2-3,1-2,0-1,0-1,4-5,93-94,89-90,9.0,1000-1500,Bethesda Softworks,M
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2-3,0-1,1-2,0-1,4-5,,,,,,
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2-3,1-2,0-1,0-1,4-5,81-82,35-36,9.0,0-500,EA Canada,T
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2-3,1-2,0-1,0-1,4-5,55-56,36-37,8.0,0-500,"Ubisoft Paris, Ubisoft Montpellier",E10+
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1-2,1-2,0-1,0-1,4-5,,,5.0,0-500,High Moon Studios,M
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1-2,1-2,0-1,0-1,4-5,85-86,69-70,8.0,500-1000,Insomniac Games,M
Sonic the Hedgehog,GEN,1991,Platform,Sega,3-4,0-1,0-1,0-1,4-5,,,,,,
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2-3,0-1,1-2,0-1,4-5,86-87,63-64,9.0,500-1000,Square Enix,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2-3,1-2,0-1,0-1,4-5,,,,,,
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2-3,1-2,0-1,0-1,4-5,92-93,82-83,9.0,1500-2000,Nintendo,E
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1-2,2-3,0-1,0-1,4-5,,,,,,
Asteroids,2600,1980,Shooter,Atari,3-4,0-1,0-1,0-1,4-5,,,,,,
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2-3,1-2,0-1,0-1,4-5,,,5.0,0-500,High Moon Studios,M
FIFA 15,PS3,2014,Sports,Electronic Arts,0-1,3-4,0-1,0-1,4-5,,,4.0,0-500,EA Sports,E
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2-3,1-2,0-1,0-1,4-5,88-89,94-95,6.0,2000-2500,Lionhead Studios,M
Namco Museum,GBA,2001,Misc,Namco Bandai Games,2-3,1-2,0-1,0-1,4-5,78-79,9-10,7.0,0-500,Mass Media,E
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2-3,1-2,0-1,0-1,4-5,90-91,69-70,9.0,1000-1500,Rocksteady Studios,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1-2,0-1,0-1,1-2,4-5,90-91,67-68,9.0,500-1000,KCEJ,M
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1-2,2-3,0-1,0-1,4-5,79-80,38-39,8.0,500-1000,Ubisoft Montreal,M
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2-3,1-2,0-1,0-1,4-5,87-88,38-39,6.0,1500-2000,Bethesda Game Studios,M
FIFA 14,X360,2013,Sports,Electronic Arts,0-1,2-3,0-1,0-1,4-5,83-84,40-41,4.0,0-500,EA Canada,E
Daxter,PSP,2006,Platform,Sony Computer Entertainment,2-3,1-2,0-1,0-1,4-5,84-85,58-59,9.0,0-500,Ready at Dawn,E10+
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1-2,2-3,0-1,0-1,4-5,,,,,,
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0-1,2-3,0-1,0-1,4-5,79-80,31-32,8.0,0-500,EA Canada,E
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0-1,2-3,0-1,0-1,4-5,79-80,31-32,8.0,0-500,"SCEE, Zoe Mode",E
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1-2,1-2,0-1,0-1,4-5,79-80,66-67,7.0,0-500,Polyphony Digital,E
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2-3,1-2,0-1,0-1,4-5,79-80,76-77,7.0,500-1000,Ubisoft Montreal,M
FIFA 12,X360,2011,Sports,Electronic Arts,0-1,2-3,0-1,0-1,4-5,,,,,,
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3-4,0-1,0-1,0-1,4-5,,,,,,
Street Fighter IV,PS3,2009,Fighting,Capcom,2-3,1-2,0-1,0-1,4-5,93-94,60-61,7.0,0-500,Capcom,T
Excitebike,NES,1984,Racing,Nintendo,2-3,0-1,1-2,0-1,4-5,,,,,,
Frogger,PS,1997,Action,Hasbro Interactive,3-4,0-1,0-1,0-1,4-5,,,,,,
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3-4,0-1,0-1,0-1,4-5,94-95,24-25,8.0,0-500,EA Sports,E
Half-Life,PC,1997,Shooter,Vivendi Games,4-5,0-1,0-1,0-1,4-5,95-96,23-24,9.0,3000-3500,Valve Software,M
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1-2,0-1,1-2,0-1,4-5,,,,,,
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,0-1,2-3,0-1,0-1,4-5,,,,,,
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1-2,0-1,2-3,0-1,4-5,,,,,,
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2-3,1-2,0-1,0-1,4-5,90-91,45-46,8.0,500-1000,Blizzard Entertainment,T
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1-2,2-3,0-1,0-1,4-5,87-88,30-31,8.0,500-1000,EA DICE,M
God of War II,PS2,2007,Action,Sony Computer Entertainment,2-3,0-1,0-1,1-2,4-5,92-93,69-70,9.0,500-1000,SCE Santa Monica,M
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0-1,2-3,0-1,0-1,4-5,,,8.0,0-500,Konami,E
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2-3,1-2,0-1,0-1,4-5,83-84,80-81,8.0,500-1000,Obsidian Entertainment,M
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2-3,1-2,0-1,0-1,4-5,89-90,65-66,8.0,0-500,Turn 10,E
Carnival Games,Wii,2007,Misc,Take-Two Interactive,2-3,1-2,0-1,0-1,4-5,55-56,26-27,6.0,0-500,Cat Daddy Games,E
Watch Dogs,PS4,2014,Action,Ubisoft,1-2,1-2,0-1,0-1,4-5,79-80,79-80,6.0,2500-3000,Ubisoft Montreal,M
Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2-3,1-2,0-1,0-1,4-5,,,,,,
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1-2,1-2,0-1,0-1,4-5,84-85,24-25,8.0,0-500,Namco,T
Far Cry 4,PS4,2014,Shooter,Ubisoft,1-2,2-3,0-1,0-1,4-5,84-85,82-83,8.0,1500-2000,Ubisoft Montreal,M
Star Fox 64,N64,1997,Shooter,Nintendo,2-3,0-1,0-1,0-1,4-5,,,,,,
Golf,NES,1984,Sports,Nintendo,1-2,0-1,2-3,0-1,4-5,,,,,,
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2-3,1-2,0-1,0-1,3-4,60-61,20-21,,,Digital Eclipse,E10+
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2-3,0-1,0-1,0-1,3-4,88-89,75-76,9.0,500-1000,Valve Software,M
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1-2,2-3,0-1,0-1,3-4,91-92,78-79,9.0,10000-10500,CD Projekt Red Studio,M
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1-2,2-3,0-1,0-1,3-4,69-70,39-40,5.0,2000-2500,"Ubisoft, Ubisoft Montreal",M
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1-2,1-2,0-1,0-1,3-4,86-87,88-89,8.0,2500-3000,Rocksteady Studios,M
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2-3,1-2,0-1,0-1,3-4,92-93,80-81,8.0,1500-2000,Nintendo,E10+
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,2-3,1-2,0-1,0-1,3-4,89-90,56-57,8.0,500-1000,Bethesda Game Studios,M
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0-1,1-2,0-1,0-1,3-4,83-84,64-65,9.0,0-500,Level 5,E10+
Donkey Kong Land,GB,1994,Platform,Nintendo,1-2,0-1,1-2,0-1,3-4,,,,,,
EA Sports Active,Wii,2009,Sports,Electronic Arts,2-3,1-2,0-1,0-1,3-4,80-81,26-27,9.0,0-500,EA Canada,E
Tony Hawk's Underground,PS2,2003,Sports,Activision,2-3,1-2,0-1,0-1,3-4,89-90,37-38,9.0,0-500,Neversoft Entertainment,T
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0-1,0-1,2-3,0-1,3-4,85-86,79-80,9.0,0-500,Capcom,T
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1-2,2-3,0-1,0-1,3-4,93-94,31-32,8.0,9000-9500,Bethesda Game Studios,M
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2-3,0-1,0-1,0-1,3-4,86-87,50-51,7.0,0-500,Visual Concepts,E10+
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,0-1,1-2,0-1,0-1,3-4,87-88,61-62,9.0,0-500,Namco,T
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,0-1,0-1,3-4,0-1,3-4,,,,,,
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1-2,1-2,0-1,0-1,3-4,83-84,8-9,7.0,0-500,Evolution Studios,T
Nintendogs + cats,3DS,2011,Simulation,Nintendo,1-2,1-2,0-1,0-1,3-4,,,,,,
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,0-1,1-2,1-2,0-1,3-4,90-91,25-26,9.0,0-500,KCET,E
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2-3,1-2,0-1,0-1,3-4,75-76,63-64,8.0,0-500,"SCEA, Zindagi Games",E10+
Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2-3,1-2,0-1,0-1,3-4,,,,,,
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2-3,0-1,0-1,0-1,3-4,,,,,,
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1-2,1-2,0-1,0-1,3-4,77-78,48-49,4.0,1500-2000,Infinity Ward,M
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0-1,1-2,1-2,0-1,3-4,58-59,21-22,4.0,0-500,"Nintendo, Namco Bandai Games",E
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1-2,1-2,0-1,0-1,3-4,79-80,63-64,7.0,2000-2500,Massive Entertainment,M
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1-2,1-2,0-1,0-1,3-4,67-68,32-33,7.0,0-500,Nintendo,E
Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,1-2,1-2,0-1,0-1,3-4,,,,,,
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,2-3,0-1,0-1,0-1,3-4,,,,,,
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,2-3,1-2,0-1,0-1,3-4,76-77,59-60,8.0,0-500,Traveller's Tales,E10+
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2-3,1-2,0-1,0-1,3-4,78-79,20-21,8.0,0-500,Maxis,T
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1-2,1-2,0-1,0-1,3-4,,,,,,
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1-2,1-2,0-1,0-1,3-4,63-64,10-11,8.0,0-500,Argonaut Games,E
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1-2,1-2,0-1,0-1,3-4,,,,,,
Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,1-2,0-1,1-2,0-1,3-4,,,,,,
Super Paper Mario,Wii,2007,Platform,Nintendo,1-2,0-1,0-1,0-1,3-4,84-85,55-56,8.0,0-500,Intelligent Systems,E
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1-2,1-2,0-1,0-1,3-4,90-91,14-15,9.0,0-500,Insomniac Games,E
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1-2,1-2,0-1,0-1,3-4,87-88,35-36,8.0,500-1000,Ubisoft,M
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0-1,2-3,0-1,0-1,3-4,80-81,26-27,8.0,0-500,EA Canada,E
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,1-2,0-1,1-2,0-1,3-4,,,,,,
Friend Collection,DS,2009,Misc,Nintendo,0-1,0-1,3-4,0-1,3-4,,,,,,
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2-3,1-2,0-1,0-1,3-4,93-94,26-27,8.0,0-500,Neversoft Entertainment,T
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,2-3,1-2,0-1,0-1,3-4,,,,,,
MySims,DS,2007,Simulation,Electronic Arts,1-2,1-2,0-1,0-1,3-4,66-67,14-15,7.0,0-500,TOSE,E
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1-2,1-2,0-1,0-1,3-4,73-74,33-34,8.0,0-500,Rockstar Leeds,E10+
Banjo-Kazooie,N64,1998,Platform,Nintendo,1-2,1-2,0-1,0-1,3-4,,,,,,
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,2-3,0-1,0-1,0-1,3-4,81-82,41-42,8.0,0-500,Zipper Interactive,M
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2-3,1-2,0-1,0-1,3-4,89-90,34-35,9.0,0-500,Naughty Dog,E
Pokemon Snap,N64,1999,Simulation,Nintendo,2-3,0-1,0-1,0-1,3-4,,,,,,
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0-1,0-1,0-1,2-3,3-4,81-82,9-10,8.0,0-500,Konami,E
Resident Evil 4,PS2,2005,Action,Capcom,2-3,0-1,0-1,0-1,3-4,95-96,37-38,9.0,1000-1500,Capcom,M
Guitar Hero: World Tour,Wii,2008,Misc,Activision,2-3,0-1,0-1,0-1,3-4,85-86,17-18,8.0,0-500,Vicarious Visions,T
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0-1,2-3,0-1,0-1,3-4,90-91,55-56,8.0,0-500,EA Sports,E
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,1-2,1-2,0-1,0-1,3-4,81-82,35-36,9.0,0-500,Pandemic Studios,T
Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive,2-3,1-2,0-1,0-1,3-4,,,,,,
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2-3,1-2,0-1,0-1,3-4,63-64,22-23,8.0,0-500,Fox Interactive,T
Luigi's Mansion,GC,2001,Action,Nintendo,2-3,0-1,0-1,0-1,3-4,77-78,33-34,8.0,0-500,Nintendo,E
Battlefield 4,PS4,2013,Shooter,Electronic Arts,1-2,1-2,0-1,0-1,3-4,84-85,17-18,7.0,1500-2000,EA DICE,M
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,2-3,1-2,0-1,0-1,3-4,83-84,29-30,9.0,0-500,Pandemic Studios,T
Just Dance 2014,Wii,2013,Misc,Ubisoft,1-2,1-2,0-1,0-1,3-4,,,6.0,0-500,Ubisoft,E10+
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1-2,1-2,0-1,0-1,3-4,69-70,38-39,8.0,0-500,Office Create,E
WWF SmackDown!,PS,2000,Fighting,THQ,2-3,1-2,0-1,0-1,3-4,,,,,,
Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive,1-2,1-2,0-1,0-1,3-4,,,,,,
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1-2,1-2,0-1,0-1,3-4,77-78,48-49,8.0,0-500,Rockstar Leeds,M
The Getaway,PS2,2002,Action,Sony Computer Entertainment,1-2,1-2,0-1,0-1,3-4,71-72,48-49,7.0,0-500,Team Soho,M
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,1-2,1-2,0-1,0-1,3-4,,,,,,
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,1-2,1-2,0-1,0-1,3-4,71-72,26-27,8.0,0-500,EA Redwood Shores,T
LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,1-2,1-2,0-1,0-1,3-4,,,,,,
Rugrats in Paris: The Movie,PS,2000,Action,THQ,1-2,1-2,0-1,0-1,3-4,,,,,,
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0-1,2-3,0-1,0-1,3-4,87-88,65-66,8.0,0-500,EA Sports,E
Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,2-3,1-2,0-1,0-1,3-4,,,,,,
Left 4 Dead,X360,2008,Shooter,Electronic Arts,2-3,0-1,0-1,0-1,3-4,88-89,66-67,8.0,1000-1500,Certain Affinity,M
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,1-2,0-1,1-2,0-1,3-4,,,,,,
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2-3,0-1,0-1,0-1,3-4,71-72,58-59,4.0,1000-1500,"Ubisoft, Ubisoft Montreal",M
Kung Fu,NES,1985,Action,Nintendo,1-2,0-1,1-2,0-1,3-4,,,,,,
Resident Evil 5,X360,2009,Action,Capcom,2-3,0-1,0-1,0-1,3-4,82-83,90-91,8.0,500-1000,Capcom,M
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2-3,0-1,0-1,0-1,3-4,88-89,80-81,8.0,500-1000,Ubisoft Montreal,M
FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts,0-1,2-3,0-1,0-1,3-4,83-84,19-20,6.0,0-500,EA Canada,E
Battlefield 4,PS3,2013,Shooter,Electronic Arts,1-2,1-2,0-1,0-1,3-4,79-80,13-14,6.0,500-1000,EA DICE,M
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2-3,0-1,0-1,0-1,3-4,91-92,77-78,9.0,1000-1500,Rocksteady Studios,T
Battlefield 4,X360,2013,Shooter,Electronic Arts,2-3,1-2,0-1,0-1,3-4,78-79,20-21,6.0,500-1000,EA DICE,M
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2-3,1-2,0-1,0-1,3-4,87-88,74-75,9.0,500-1000,EA DICE,M
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,1-2,1-2,0-1,0-1,3-4,,,,,,
Guitar Hero: On Tour,DS,2008,Misc,Activision,2-3,1-2,0-1,0-1,3-4,70-71,69-70,9.0,0-500,Vicarious Visions,E10+
Clubhouse Games,DS,2006,Misc,Nintendo,0-1,1-2,0-1,0-1,3-4,82-83,29-30,8.0,0-500,Agenda,E
Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0-1,0-1,3-4,0-1,3-4,,,,,,
Borderlands,X360,2009,Shooter,Take-Two Interactive,2-3,0-1,0-1,0-1,3-4,83-84,82-83,8.0,500-1000,Gearbox Software,M
Tekken 4,PS2,2002,Fighting,Namco Bandai Games,1-2,1-2,0-1,0-1,3-4,78-79,22-23,8.0,0-500,Namco,T
Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,0-1,0-1,2-3,0-1,3-4,,,,,,
